team_id,team_name
59,Blackburn Rovers FC
68,Norwich City FC
69,Queens Park Rangers FC
70,Stoke City FC
71,Sunderland AFC
72,Swansea City AFC
74,West Bromwich Albion FC
75,Wigan Athletic FC
322,Hull City AFC
328,Burnley FC
332,Birmingham City FC
336,Blackpool FC
343,Middlesbrough FC
346,Watford FC
355,Reading FC
356,Sheffield United FC
384,Millwall FC
385,Rotherham United FC
387,Bristol City FC
389,Luton Town FC
394,Huddersfield Town AFC
715,Cardiff City FC
1076,Coventry City FC
1081,Preston North End FC
